Month,Price,INR_Price
Jan-2014,2.92,183.0402
Feb-2014,2.97,183.53115
Mar-2014,2.89,173.44335
Apr-2014,2.89,174.39705
May-2014,2.87,169.88965
Jun-2014,2.88,172.9728
Jul-2014,2.82,170.7651
Aug-2014,2.84,171.8768
Sep-2014,2.73,169.0962
Oct-2014,2.46,151.0563
Nov-2014,2.3,143.083
Dec-2014,1.8,113.463
Jan-2015,1.5,93.03
Feb-2015,1.77,109.13643
Mar-2015,1.63,101.53433
Apr-2015,1.7,107.9993
May-2015,1.85,117.92455
Jun-2015,1.73,110.03492
Jul-2015,1.55,99.1814
Aug-2015,1.39,92.31268
Sep-2015,1.4,91.7238
Oct-2015,1.39,90.93797
Nov-2015,1.33,88.39446
Dec-2015,1.08,71.50464
Jan-2016,0.93,63.12654
Feb-2016,0.97,66.16176
Mar-2016,1.07,70.89285
Apr-2016,1.15,76.38875
May-2016,1.3,87.3717
Jun-2016,1.38,93.15552
Jul-2016,1.27,84.65185
Aug-2016,1.3,87.0649
Sep-2016,1.32,87.85392
Oct-2016,1.46,97.36156
Nov-2016,1.36,93.29328
Dec-2016,1.49,101.25295
Jan-2017,1.51,101.94765
Feb-2017,1.55,103.42375
Mar-2017,1.45,94.047
Apr-2017,1.51,97.0779
May-2017,1.41,90.9591
Jun-2017,1.3,84.006
Jul-2017,1.42,91.164
Aug-2017,1.56,99.7386
Sep-2017,1.8,117.558
Oct-2017,1.66,107.485
Nov-2017,1.76,113.5024
Dec-2017,1.82,116.1888
Jan-2018,1.95,123.9225
Feb-2018,1.85,120.6385
Mar-2018,1.86,121.1139
Apr-2018,2.02,134.2492
May-2018,2.16,145.6488
Jun-2018,2.09,143.0814
Jul-2018,2.1,143.766
Aug-2018,2.12,150.5306
Sep-2018,2.19,158.7969
Oct-2018,2.25,166.41
Nov-2018,1.95,135.8175
Dec-2018,1.7,118.269
