Month,Air_India,Jet_Airways,JetLite,Spice_Jet,Go_Air,IndiGo,Air_Asia,Vistara,Truejet
Jan-2016,81.7,82.5,82.5,92.1,84.9,84.7,81.9,74.8,83.4
Feb-2016,79.9,83,80.9,92.3,86.4,86,85.5,73.9,78.9
Mar-2016,75.7,79.1,77,91.1,86.3,85.1,82.7,74.7,77.9
Apr-2016,78.9,78.5,78.3,93.2,87.8,85.8,84.8,77.9,78.1
May-2016,84.7,82.6,80.9,93.5,88.6,87.2,86.8,80.1,80.7
Jun-2016,82,79.1,75.2,93,84.6,77.9,90.2,79,81
Jul-2016,80.3,83.8,80.9,92,90.3,83.6,85.7,75.2,79.4
Aug-2016,77.7,81.7,78.9,93.2,86,82.1,83.3,69.2,77.7
Sep-2016,79,79.9,77.5,93.5,89.4,82.1,82.8,72.7,75.6
Oct-2016,71.8,75.5,71,91.9,84.4,84.9,78.3,69.2,75.8
Nov-2016,75.1,80.4,74.7,92.5,87.3,88,86.9,74.4,81.2
Dec-2016,81.4,86.1,85.7,93.7,90.7,91.4,86.3,85.1,79.1
Jan-2017,81.4,86.8,85.4,93.6,90.8,90,87.4,85.1,74.8
Feb-2017,79.8,86.8,84.9,93.7,90.9,87.7,88.1,85,77
Mar-2017,74.6,79.8,79.2,91.4,84.8,81.6,87.8,82.2,76
Apr-2017,78.7,82.8,83.3,93.4,84.7,86.9,90.1,83.6,74.6
May-2017,80.9,85.3,84.3,94.3,93,91.1,89.4,86.8,80.3
Jun-2017,77,81,82.8,94.5,89.4,87.8,89.6,86.4,75.7
Jul-2017,75.5,80.2,80.7,94.4,82.5,83.7,88.4,84.6,80.7
Aug-2017,76.1,80.7,82.8,94.5,85.4,83.6,85.8,83.4,83.2
Sep-2017,78.6,80.2,83.3,94.2,88.5,85.2,81.6,84.1,74.4
Oct-2017,76.6,80.5,82.1,93.7,87.6,87.3,83,80.2,65.7
Nov-2017,83.8,87.3,89.5,95.5,90,90.7,84.5,86.9,68.5
Dec-2017,81.8,88.5,89.1,95.6,92,90.8,86.8,87.7,75.7
Jan-2018,84.6,88.7,89.7,95,90,89.7,83.7,87,77
Feb-2018,86.7,90.4,90.3,96.3,90.4,91.8,88,91.2,77
Mar-2018,83.6,86.2,87.1,95,88,89,82,88.2,72.4
Apr-2018,84,85.6,84.4,95.5,89.5,91.9,87.5,88.8,80
May-2018,81.3,80.4,80.2,94.8,89.2,91,89.7,85.7,82.7
Jun-2018,80.9,79.5,79.6,93.3,88.6,88.3,86.7,84.8,79
Jul-2018,82.3,83.9,80.5,93.8,87.2,88.7,79.7,84.1,74.8
Aug-2018,82.3,82,79.2,93.6,84.6,82.8,76.2,81.5,75.7
Sep-2018,81.1,84.9,83,93.2,90.6,82.7,71.7,84.9,76.1
Oct-2018,78.8,81.6,80.2,90.8,84.1,83.1,82.8,79.7,81.7
Nov-2018,78.6,82.1,80.9,91.1,87.6,84.9,86.5,78.5,78.8
Dec-2018,81.2,87,85.7,92.7,88.5,88.9,88.8,83.1,80.3
